Id_busqueda,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,tweet_prepro,polarity,alojamientos,producto,seguridad,clima
1,1240909822180155392,2021-08-14 23:42:08+00:00, ,1426690633524256768,es, , , , ,Twitter for Android,"RT @gruponovasl: Después de cumplir el deber, el descanso es un placer!!! 
(Fotos @paradores Parador de Granada mantenimiento de Jardineria…",después cumplir deber descanso placer foto parador granada mantenimiento jardinerio,P,1,0,0,0
1,1002538041884454913,2021-08-14 23:29:25+00:00, ,1426687434595635204,es, , , , ,Twitter for iPad,"#Historia para @LieutenantDans7! El shortstop de Los #Braves conectó su cuadrangular número 21 en la temporada rompiendo la marca para un parador en corto en la historia de la franquicia. 
El récord le pertenecía a Denis Menke, quien conectó 20 con los Milwaukee Braves de 1964 https://t.co/D2ZXneSeOV",historia shortstop brave conectar cuadrangular número temporada romper marca parador corto historia franquicia récord pertenecer denis menke conectar milwaukee brave,P,1,1,0,1
1,1373511527412629504,2021-08-14 23:25:32+00:00, ,1426686457750691842,es, , , , ,Twitter for Android,"Fábula Ilustrada de Benigno Espinosa Calderón 
Nasrudín dejó dormido en el parador a su Camello. Auscultó los bronquios del Califa. Le tomó la presión arterial. La bella esposa del Califa, le preguntó :-¿ Qué le doy por la mañana , Doctor ?- Si amanece dele los buenos días. https://t.co/Iha7ka2YUA",fábula ilustrado benigno espinoso calderón nasrudín dejar dormido parador camello auscultar bronquio califo tomar presión arterial bello esposa califo preguntar dar mañana doctor si amanecer delar buen día,P,1,0,0,1
1,881361771197583360,2021-08-14 23:08:26+00:00, ,1426682152901652492,es, , , , ,Twitter for Android,"RT @chicachick_2: ¡OFERTA!
Durante el mes de agosto, compra a mitad de precio:
LA LEY DEL PUEBLO de @roberheavy 
📱https://t.co/wVYNGxgsVB
S…",ofeo mes agosto comprar mitad precio ley pueblo s,P,0,0,1,0
1,119071109,2021-08-14 23:00:13+00:00, ,1426680084547706881,es, , , , ,Twitter for Android,"@itineratur 😵, creía como un iluso que después de encontrar la judería habían decidido construir el parador en otro sitio.",creer iluso después encontrar judería decidido construir parador sitio,P,1,0,0,0
1,946056489705369600,2021-08-14 22:38:42+00:00, ,1426674672431665152,es, , , , ,Twitter for Android,"RT @itineratur: 18/ Fue descubierta en el año 2003 con motivo de la construcción de un Parador Nacional y excavada a partir del 2009. 

📷 I…",descubierto año motivo construcción parador nacional excavado partir i,P,1,0,0,0
1,445265553,2021-08-14 22:28:05+00:00, ,1426671997191434241,es, , , , ,Twitter for Android,que ganas de tomarme una birra en el parador,gana tomar yo birro parador,P,1,0,0,0
1,1601835949,2021-08-14 22:26:10+00:00, ,1426671516461195264,es, , , , ,Twitter for iPhone,"@luisabeledo Muy bonito! Parece un parador, no?",bonito parecer parador,P,1,0,0,0
1,1292131271817285633,2021-08-14 22:15:56+00:00, ,1426668943377412097,es, , , , ,Twitter for Android,@superavitfiscal Bar en Güemes. Y al otro día escapadita al parador en camino al cuadrado,bar g eme día escapadita parador camino cuadrado,P,1,1,0,1
1,1413428850,2021-08-14 22:14:58+00:00, ,1426668698161590279,es, , , , ,Twitter for Android,Primer día del finde largo y mis padres tienen el parador ocupado al 100%. La felicidat🥰❤,primero día finde largo padre parador ocupado felicidat,P,1,0,0,1
1,1561417314,2021-08-14 22:12:19+00:00, ,1426668032504614920,es, , , , ,Twitter for Android,"RT @aceytuno: En los Montes do Gato no queremos plantar máquinas, sino árboles.

No queremos polígonos industriales sino bosques.

No quere…",monte do gato querer plantar máquina sino árbol querer polígono industrial sino bosque querer,P,0,1,0,0
1,2150869265,2021-08-14 22:11:04+00:00, ,1426667718531485697,es, , , , ,Twitter for Android,"RT @honorio_aguilar: Ribeira Sacra, Ourense. Entre los monasterios el de Santo Estevo fue restaurado como Parador Nacional, un ejemplo de a…",ribeira sacro ourense monasterio santo estar restaurado parador nacional ejemplo,P,1,1,0,0
1,163671820,2021-08-14 22:10:02+00:00, ,1426667457855492096,es, , , , ,Twitter for Android,Quién coño va a un parador Nacional a cenar y se pide una tostada,quién coño ir parador nacional cenar pedir tostada,P,1,1,0,0
1,1038521463022776320,2021-08-14 22:00:58+00:00, ,1426665174744936454,es, , , , ,Twitter Web App,No podemos dejar de citar la mega polémica de la construcción del Parador Nacional que está entre los restos arqueológicos y para cuya construcción hubo que destruir partes significativas de la judería. https://t.co/sEzI35XtRM,poder dejar citar mego polémico construcción parador nacional resto arqueológico cuyo construcción destruir parte significativo judería,P,1,0,0,0
1,166517506,2021-08-14 21:57:35+00:00, ,1426664323737346048,es, , , , ,Besocy_Oficial,Elige al mejor jugador del Alavés ante el Real Madrid y gana una escapada a un parador https://t.co/r1pULrFmgX,elegir mejor jugador alavés real madrid ganar escapada parador,P,1,0,0,0
1,3361156594,2021-08-14 21:51:00+00:00, ,1426662667696082948,es, , , , ,Twitter for Android,Los pasacalle  que cubren todo el parador del paso los vendí yo y ni así me ofrecieron una entrada jajaja,pasacalle cubrir parador paso vender así ofrecer entrada risa,P,1,0,0,0
1,807209261893873665,2021-08-14 21:45:14+00:00, ,1426661215535878147,es, , , , ,Twitter for Android,"RT @chicachick_2: ¡OFERTA!
Durante el mes de agosto, compra a mitad de precio:
LA LEY DEL PUEBLO de @roberheavy 
📱https://t.co/wVYNGxgsVB
S…",ofeo mes agosto comprar mitad precio ley pueblo s,P,0,0,1,0
1,881219441543053312,2021-08-14 21:45:03+00:00, ,1426661169067139076,pt, , , , ,Twitter for iPhone,"RT @OriquesYuri: Moça que pegou o Vila Militar 51 (parador) as 18:32, eu estou apaixonado por voce",mo pegou vila militar parador as eu estou apaixonado voce,P,1,0,1,0
1,145314758,2021-08-14 21:40:02+00:00, ,1426659905491058697,es, , , , ,Twitter for Android,"Kevin Newman se convierte en el primer parador en corto de #LosPiratas desde 1910 en dar 4 extra bases en un juego, el último fue Honus Wagner.
#LetsGoBucs
#HazloGrande https://t.co/YIBJgVH1FB",kevin newman convertir primero parador corto lospirato dar extra base juego último honus wagner letsgobuc hazlogrande,P,1,0,0,0
1,915560863364509697,2021-08-14 21:38:41+00:00, ,1426659566717186048,es, , , , ,Twitter for Android,Ese día yo estaba en el parador de Brahma plena pesca del dorado con mucho vodka encima llorando por el 🤣 https://t.co/CTdvYhrYNv,día parador brahma pleno pesca dorado vodka encima llorar,P,1,0,0,1
1,443151575,2021-08-14 21:37:28+00:00, ,1426659259358535683,es, , , , ,Twitter for iPhone,Parador de Vilalba https://t.co/4lu58znlRV,parador vilalbo,P,1,0,0,0
1,1114553040659460097,2021-08-14 21:32:33+00:00, ,1426658021988605955,pt, , , , ,Twitter for Android,"Moça que pegou o Vila Militar 51 (parador) as 18:32, eu estou apaixonado por voce",mo pegou vila militar parador as eu estou apaixonado voce,P,1,0,1,0
1,2268965956,2021-08-14 21:31:31+00:00, ,1426657761824227330,es, , , , ,Twitter for Android,"RT @aceytuno: En los Montes do Gato no queremos plantar máquinas, sino árboles.

No queremos polígonos industriales sino bosques.

No quere…",monte do gato querer plantar máquina sino árbol querer polígono industrial sino bosque querer,P,0,1,0,0
1,2268965956,2021-08-14 21:30:10+00:00, ,1426657424468062209,es, , , , ,Twitter for Android,"RT @aceytuno: En los Montes do Gato no queremos plantar máquinas, sino bosques, que sea un Parque Natural de aprovechamiento forestal del p…",monte do gato querer plantar máquina sino bosque parque natural aprovechamiento forestal p,P,0,1,0,0
1,1209949121450315776,2021-08-14 21:23:52+00:00, ,1426655838081531904,es, , , , ,Twitter for Android,"@itineratur No, ya... Lo de la desidia me lo sé...
Y lo del parador no tiene nombre. ¡Ahí no se tenía que construir nada!",desidia saber parador nombre ahí construir,P,1,0,0,0
1,1038521463022776320,2021-08-14 21:21:14+00:00, ,1426655176405012489,es, , , , ,Twitter Web App,"@Lenich7 Gracias, Lenich. Fue al construir el parador, esa fortaleza es MUY grande, son 50 mil metros cuadrados, una de las más grandes de España y la judería ocupará unos 4500. A parte de la habitual desidia, claro, si no inviertes qué vas a encontrar.",gracias lenich construir parador fortaleza grande mil metro cuadrado grande españa judería ocupar parte habitual desidia claro si invertir ir encontrar,P,1,0,0,0
1,4394080763,2021-08-14 21:21:13+00:00, ,1426655171304644613,es, , , , ,Twitter for Android,"RT @aceytuno: En los Montes do Gato no queremos plantar máquinas, sino bosques, que sea un Parque Natural de aprovechamiento forestal del p…",monte do gato querer plantar máquina sino bosque parque natural aprovechamiento forestal p,P,0,1,0,0
1,4394080763,2021-08-14 21:19:47+00:00, ,1426654808660971522,es, , , , ,Twitter for Android,"RT @aceytuno: En los Montes do Gato no queremos plantar máquinas, sino árboles.

No queremos polígonos industriales sino bosques.

No quere…",monte do gato querer plantar máquina sino árbol querer polígono industrial sino bosque querer,P,0,1,0,0
1,1154389520281939968,2021-08-14 21:19:36+00:00, ,1426654766348787712,es, , , , ,Twitter for Android,"@MeMoratilla @FloridaEspanola hoy convertido en el Parador Nacional de Santiago. En 1503 Isabel la Católica prescribe al gobernador Ovando que ""haga en las poblaciones donde él viera que fuera más necesario casa para hospitales en que se acojan y curen los pobres, así de los cristianos como de los indios.""",hoy convertido parador nacional santiago isabel católico prescribir gobernador ovando hacer población ver necesario casa hospital acoger curar pobre así cristiano indio,P,1,0,0,0
1,116719228,2021-08-14 21:13:21+00:00, ,1426653192956354560,es, , , , ,Twitter Web App,"En los Montes do Gato no queremos plantar máquinas, sino árboles.

No queremos polígonos industriales sino bosques.

No queremos que sea un megaparque de macroeólicos sino un Parque Natural de Interés Arqueológico con el primer Parador Nacional de madera de pino gallego.

#PNGato https://t.co/fKYCLMLqvY",monte do gato querer plantar máquina sino árbol querer polígono industrial sino bosque querer megaparcar macroeólico sino parque natural interés arqueológico primero parador nacional madera pino gallego pngato,P,1,1,0,0
1,21060368,2021-08-14 21:11:51+00:00, ,1426652815166947333,en, , , , ,Twitter Web App,"@waltshaub Well, then I guess all of us that laughed ourselves silly have brain damage too...the kind called ""imagination"" and ""sense of humor."" 😉 Parador Forever!",well then i guess a el of us that laughed ourselves silly have brain damage too the kind called imagination and sense of humor parador forever,P,1,0,0,0
1,145314758,2021-08-14 21:07:39+00:00, ,1426651757334126592,es, , , , ,Twitter for Android,"Kevin Newman de 4-4, sin dudas este debe ser el mejor encuentro en la temporada para nuestro parador en corto.
#LetsGoBucs
#HazloGrande",kevin newman duda deber ser mejor encuentro temporada parador corto letsgobuc hazlogrande,P,1,0,0,1
1,209075024,2021-08-14 21:06:38+00:00, ,1426651503268442114,es, , , , ,Twitter for Android,"RT @aceytuno: En los Montes do Gato no queremos plantar máquinas, sino bosques, que sea un Parque Natural de aprovechamiento forestal del p…",monte do gato querer plantar máquina sino bosque parque natural aprovechamiento forestal p,P,0,1,0,0
1,366181978,2021-08-14 21:05:04+00:00, ,1426651106646675467,es, , , , ,Twitter for Android,"RT @itineratur: 18/ Fue descubierta en el año 2003 con motivo de la construcción de un Parador Nacional y excavada a partir del 2009. 

📷 I…",descubierto año motivo construcción parador nacional excavado partir i,P,1,0,0,0
1,246021194,2021-08-14 21:01:32+00:00, ,1426650219643539460,es, , , , ,Twitter Web App,@fmendiguren Vale la pena dormir una noche en el Parador Nacional de Baiona. Y cenar en su restaurante.,valer pena dormir noche parador nacional baiona cenar restaurante,P,1,1,0,0
1,21060368,2021-08-14 21:01:12+00:00, ,1426650133089902595,en, , , , ,Twitter Web App,"@waltshaub Could sure use a tale of Parador right now, sir.  The real world is just too damn sad. 😢",could sure usar tale of parador right now sir the real world is just too damn sad,P,1,0,0,0
1,1705683222,2021-08-14 20:53:51+00:00, ,1426648283573850115,es, , , , ,Twitter Web App,"RT @aceytuno: En los Montes do Gato no queremos plantar máquinas, sino bosques, que sea un Parque Natural de aprovechamiento forestal del p…",monte do gato querer plantar máquina sino bosque parque natural aprovechamiento forestal p,P,0,1,0,0
